Meter,Account Number,Bill Period,Reading Date,Previous Reading,Current Reading,kWh,Charges,Site,Country
MTR-GB-00142,ACC-2024-8801,2024-01,2024-01-31,48320,54180,5860,£877.42,Head Office - London,GB
MTR-GB-00142,ACC-2024-8801,2024-02,2024-02-29,54180,60510,6330,£948.21,Head Office - London,GB
MTR-GB-00142,ACC-2024-8801,2024-03,2024-03-31,60510,65890,5380,£806.05,Head Office - London,GB
MTR-GB-00142,ACC-2024-8801,2024-04,2024-04-30,65890,70740,4850,£726.48,Head Office - London,GB
MTR-GB-00287,ACC-2024-9145,2024-01,2024-01-31,112450,124380,11930,£1787.06,Manchester Warehouse,GB
MTR-GB-00287,ACC-2024-9145,2024-02,2024-02-29,124380,136950,12570,£1882.27,Manchester Warehouse,GB
MTR-GB-00287,ACC-2024-9145,2024-03,2024-03-31,136950,148290,11340,£1698.96,Manchester Warehouse,GB
MTR-GB-00287,ACC-2024-9145,2024-04,2024-04-30,148290,158840,10550,£1580.10,Manchester Warehouse,GB
MTR-GB-00531,ACC-2024-7732,2024-01,2024-01-31,231600,246870,15270,£2286.47,Birmingham Factory,GB
MTR-GB-00531,ACC-2024-7732,2024-02,2024-02-29,246870,262940,16070,£2406.48,Birmingham Factory,GB
MTR-GB-00531,ACC-2024-7732,2024-03,2024-03-31,262940,278110,15170,£2271.97,Birmingham Factory,GB
MTR-GB-00531,ACC-2024-7732,2024-04,2024-04-30,278110,291590,13480,£2019.04,Birmingham Factory,GB
